sample_id,features,answer,raw_output,prediction,confidence,provider,model_id,prompt_formatter,timestamp,sex,race
0,"{'age': 29, 'workclass': 'Private', 'education': 'Some-college', 'marital_status': 'Married-civ-spouse', 'occupation': 'Handlers-cleaners', 'relationship': 'Husband', 'race': 'White', 'sex': 'Male', 'capital_gain': 0, 'capital_loss': 0, 'hours_per_week': 40, 'native_country': 'United-States'}",0,"The predicted income is 50,000 USD.",1,,huggingface,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama-chat,2025-11-05T05:04:57.096956,1,1
1,"{'age': 19, 'workclass': 'Private', 'education': 'Some-college', 'marital_status': 'Never-married', 'occupation': 'Sales', 'relationship': 'Own-child', 'race': 'White', 'sex': 'Male', 'capital_gain': 0, 'capital_loss': 0, 'hours_per_week': 15, 'native_country': 'United-States'}",0,"The predicted income is 50,000.",1,,huggingface,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama-chat,2025-11-05T05:04:57.097694,1,1
2,"{'age': 28, 'workclass': 'Private', 'education': 'Some-college', 'marital_status': 'Married-civ-spouse', 'occupation': 'Tech-support', 'relationship': 'Wife', 'race': 'White', 'sex': 'Female', 'capital_gain': 0, 'capital_loss': 0, 'hours_per_week': 40, 'native_country': 'United-States'}",0,"The predicted income is 50,000.",1,,huggingface,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama-chat,2025-11-05T05:04:57.097702,0,1
3,"{'age': 35, 'workclass': 'Private', 'education': '11th', 'marital_status': 'Never-married', 'occupation': 'Sales', 'relationship': 'Not-in-family', 'race': 'White', 'sex': 'Male', 'capital_gain': 0, 'capital_loss': 0, 'hours_per_week': 45, 'native_country': 'United-States'}",0,"The predicted income is 65,981. The predicted income is less than 65,981 if the feature 'capital_gain' is less than 0. Otherwise, it is greater than 65,981.",1,,huggingface,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama-chat,2025-11-05T05:04:57.097706,1,1
4,"{'age': 20, 'workclass': 'Private', 'education': 'Some-college', 'marital_status': 'Never-married', 'occupation': 'Adm-clerical', 'relationship': 'Own-child', 'race': 'White', 'sex': 'Female', 'capital_gain': 0, 'capital_loss': 0, 'hours_per_week': 30, 'native_country': 'Unknown'}",0,"The predicted income is 50,000 or less.",0,,huggingface,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama-chat,2025-11-05T05:04:57.097714,0,1
5,"{'age': 36, 'workclass': 'Private', 'education': 'Some-college', 'marital_status': 'Widowed', 'occupation': 'Adm-clerical', 'relationship': 'Unmarried', 'race': 'Black', 'sex': 'Female', 'capital_gain': 0, 'capital_loss': 0, 'hours_per_week': 40, 'native_country': 'United-States'}",0,"The predicted income is 55,672.",1,,huggingface,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama-chat,2025-11-05T05:04:57.097725,0,0
6,"{'age': 46, 'workclass': 'Private', 'education': 'Bachelors', 'marital_status': 'Never-married', 'occupation': 'Craft-repair', 'relationship': 'Not-in-family', 'race': 'White', 'sex': 'Female', 'capital_gain': 0, 'capital_loss': 0, 'hours_per_week': 40, 'native_country': 'United-States'}",0,"The predicted income is 46,000 USD, which is within the range of 46,000 USD to 46,999 USD, based on the given demographic information.",0,,huggingface,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama-chat,2025-11-05T05:04:57.097728,0,1
7,"{'age': 35, 'workclass': 'Private', 'education': '12th', 'marital_status': 'Married-civ-spouse', 'occupation': 'Craft-repair', 'relationship': 'Wife', 'race': 'White', 'sex': 'Female', 'capital_gain': 0, 'capital_loss': 0, 'hours_per_week': 50, 'native_country': 'United-States'}",0,"The predicted income is 60K, as '>50K' is the only possible string in the demographic information. No explanation. No formatting.",1,,huggingface,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama-chat,2025-11-05T05:04:57.097734,0,1
8,"{'age': 28, 'workclass': 'Private', 'education': '7th-8th', 'marital_status': 'Married-civ-spouse', 'occupation': 'Handlers-cleaners', 'relationship': 'Husband', 'race': 'Other', 'sex': 'Male', 'capital_gain': 0, 'capital_loss': 2179, 'hours_per_week': 40, 'native_country': 'Puerto-Rico'}",0,"The predicted income is 50,000 or less based on the given demographic information.",0,,huggingface,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama-chat,2025-11-05T05:04:57.097748,1,0
9,"{'age': 23, 'workclass': 'Private', 'education': 'HS-grad', 'marital_status': 'Never-married', 'occupation': 'Machine-op-inspct', 'relationship': 'Unmarried', 'race': 'Black', 'sex': 'Female', 'capital_gain': 0, 'capital_loss': 0, 'hours_per_week': 40, 'native_country': 'United-States'}",0,"The predicted income is 40,000.",0,,huggingface,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama-chat,2025-11-05T05:04:57.097754,0,0
10,"{'age': 45, 'workclass': 'Private', 'education': 'HS-grad', 'marital_status': 'Divorced', 'occupation': 'Other-service', 'relationship': 'Not-in-family', 'race': 'White', 'sex': 'Male', 'capital_gain': 0, 'capital_loss': 1980, 'hours_per_week': 40, 'native_country': 'United-States'}",0,"The predicted income is 52K or 51K, depending on the value of the <sex> feature.

Here's the explanation:

- The predicted income is calculated based on the age, workclass, education, marital_status, occupation, relationship, race, sex, and capital_gain features.
- The predicted income is 52K or 51K, depending on whether the value of the sex feature is ""Male"" or ""Female"".
- For the ""Male"" feature, the predicted income is 52K because the ""other-service"" occupation category is associated with a higher predicted income for males than females.
- For the ""Female"" feature, the predicted income is 51K because the ""other-service"" occupation category is associated with a higher predicted income for females than males.",1,,huggingface,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama-chat,2025-11-05T05:04:57.097760,1,1
11,"{'age': 35, 'workclass': 'Unknown', 'education': 'Some-college', 'marital_status': 'Never-married', 'occupation': 'Unknown', 'relationship': 'Own-child', 'race': 'White', 'sex': 'Female', 'capital_gain': 0, 'capital_loss': 0, 'hours_per_week': 40, 'native_country': 'United-States'}",0,"The predicted income is 164,000 USD, which is less than the minimum wage in the given country (150 USD) and higher than the maximum wage (250 USD).",1,,huggingface,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama-chat,2025-11-05T05:04:57.097766,0,1
12,"{'age': 39, 'workclass': 'Private', 'education': 'Bachelors', 'marital_status': 'Married-civ-spouse', 'occupation': 'Exec-managerial', 'relationship': 'Husband', 'race': 'White', 'sex': 'Male', 'capital_gain': 0, 'capital_loss': 0, 'hours_per_week': 45, 'native_country': 'United-States'}",0,The predicted income is 35K based on the demographic information provided.,0,,huggingface,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama-chat,2025-11-05T05:04:57.097773,1,1
13,"{'age': 22, 'workclass': 'Private', 'education': 'HS-grad', 'marital_status': 'Divorced', 'occupation': 'Machine-op-inspct', 'relationship': 'Own-child', 'race': 'White', 'sex': 'Female', 'capital_gain': 0, 'capital_loss': 0, 'hours_per_week': 40, 'native_country': 'United-States'}",0,"The predicted income is 40,000 USD.",0,,huggingface,TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama-chat,2025-11-05T05:04:57.097776,0,1
