    INFO: 2026-02-02 10:23:00,665:               log.py:   20: Logging to /Users/gorkemcetin/verifywise/docs/mdpdf.log
   DEBUG: 2026-02-02 10:23:00,665:               cli.py:  103: VERIFYWISE_VS_ONETRUST_COMPARISON.md
    INFO: 2026-02-02 10:23:00,666:         converter.py:   14: VERIFYWISE_VS_ONETRUST_COMPARISON.md
   DEBUG: 2026-02-02 10:23:00,681:      pdf_renderer.py:  470: printSegment: VerifyWise vs OneTrust AI Governance
   DEBUG: 2026-02-02 10:23:00,682:      pdf_renderer.py:  470: printSegment: Comprehensive Feature Comparison Report
   DEBUG: 2026-02-02 10:23:00,684:      pdf_renderer.py:  470: printSegment: Document Version:
   DEBUG: 2026-02-02 10:23:00,685:      pdf_renderer.py:  470: printSegment:  1.0
   DEBUG: 2026-02-02 10:23:00,687:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,688:      pdf_renderer.py:  470: printSegment: Date:
   DEBUG: 2026-02-02 10:23:00,688:      pdf_renderer.py:  470: printSegment:  February 2026
   DEBUG: 2026-02-02 10:23:00,688:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,689:      pdf_renderer.py:  470: printSegment: Classification:
   DEBUG: 2026-02-02 10:23:00,689:      pdf_renderer.py:  470: printSegment:  Internal Analysis
   DEBUG: 2026-02-02 10:23:00,689:      pdf_renderer.py:  470: printSegment: Table of Contents
   DEBUG: 2026-02-02 10:23:00,690:      pdf_renderer.py:  470: printSegment:  1 
   DEBUG: 2026-02-02 10:23:00,690:      pdf_renderer.py:  470: printSegment: Executive Summary
   ERROR: 2026-02-02 10:23:00,690:      pdf_renderer.py:  217: /Users/gorkemcetin/verifywise/docs/VERIFYWISE_VS_ONETRUST_COMPARISON.md:12: #1-executive-summary: No such file or directory
   DEBUG: 2026-02-02 10:23:00,690:      pdf_renderer.py:  470: printSegment:  2 
   DEBUG: 2026-02-02 10:23:00,691:      pdf_renderer.py:  470: printSegment: Platform Overview
   ERROR: 2026-02-02 10:23:00,691:      pdf_renderer.py:  217: /Users/gorkemcetin/verifywise/docs/VERIFYWISE_VS_ONETRUST_COMPARISON.md:13: #2-platform-overview: No such file or directory
   DEBUG: 2026-02-02 10:23:00,691:      pdf_renderer.py:  470: printSegment:  3 
   DEBUG: 2026-02-02 10:23:00,691:      pdf_renderer.py:  470: printSegment: Inventory Management
   ERROR: 2026-02-02 10:23:00,692:      pdf_renderer.py:  217: /Users/gorkemcetin/verifywise/docs/VERIFYWISE_VS_ONETRUST_COMPARISON.md:14: #3-inventory-management: No such file or directory
   DEBUG: 2026-02-02 10:23:00,692:      pdf_renderer.py:  470: printSegment:  4 
   DEBUG: 2026-02-02 10:23:00,692:      pdf_renderer.py:  470: printSegment: Risk Management
   ERROR: 2026-02-02 10:23:00,692:      pdf_renderer.py:  217: /Users/gorkemcetin/verifywise/docs/VERIFYWISE_VS_ONETRUST_COMPARISON.md:15: #4-risk-management: No such file or directory
   DEBUG: 2026-02-02 10:23:00,692:      pdf_renderer.py:  470: printSegment:  5 
   DEBUG: 2026-02-02 10:23:00,693:      pdf_renderer.py:  470: printSegment: Compliance Frameworks
   ERROR: 2026-02-02 10:23:00,693:      pdf_renderer.py:  217: /Users/gorkemcetin/verifywise/docs/VERIFYWISE_VS_ONETRUST_COMPARISON.md:16: #5-compliance-frameworks: No such file or directory
   DEBUG: 2026-02-02 10:23:00,693:      pdf_renderer.py:  470: printSegment:  6 
   DEBUG: 2026-02-02 10:23:00,693:      pdf_renderer.py:  470: printSegment: Assessments 
   DEBUG: 2026-02-02 10:23:00,693:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2026-02-02 10:23:00,694:      pdf_renderer.py:  470: printSegment:  Questionnaires
   ERROR: 2026-02-02 10:23:00,694:      pdf_renderer.py:  217: /Users/gorkemcetin/verifywise/docs/VERIFYWISE_VS_ONETRUST_COMPARISON.md:17: #6-assessments--questionnaires: No such file or directory
   DEBUG: 2026-02-02 10:23:00,694:      pdf_renderer.py:  470: printSegment:  7 
   DEBUG: 2026-02-02 10:23:00,694:      pdf_renderer.py:  470: printSegment: Workflow 
   DEBUG: 2026-02-02 10:23:00,695:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2026-02-02 10:23:00,695:      pdf_renderer.py:  470: printSegment:  Automation
   ERROR: 2026-02-02 10:23:00,695:      pdf_renderer.py:  217: /Users/gorkemcetin/verifywise/docs/VERIFYWISE_VS_ONETRUST_COMPARISON.md:18: #7-workflow--automation: No such file or directory
   DEBUG: 2026-02-02 10:23:00,695:      pdf_renderer.py:  470: printSegment:  8 
   DEBUG: 2026-02-02 10:23:00,696:      pdf_renderer.py:  470: printSegment: Reporting 
   DEBUG: 2026-02-02 10:23:00,696:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2026-02-02 10:23:00,696:      pdf_renderer.py:  470: printSegment:  Analytics
   ERROR: 2026-02-02 10:23:00,696:      pdf_renderer.py:  217: /Users/gorkemcetin/verifywise/docs/VERIFYWISE_VS_ONETRUST_COMPARISON.md:19: #8-reporting--analytics: No such file or directory
   DEBUG: 2026-02-02 10:23:00,696:      pdf_renderer.py:  470: printSegment:  9 
   DEBUG: 2026-02-02 10:23:00,697:      pdf_renderer.py:  470: printSegment: Integrations
   ERROR: 2026-02-02 10:23:00,698:      pdf_renderer.py:  217: /Users/gorkemcetin/verifywise/docs/VERIFYWISE_VS_ONETRUST_COMPARISON.md:20: #9-integrations: No such file or directory
   DEBUG: 2026-02-02 10:23:00,698:      pdf_renderer.py:  470: printSegment:  10 
   DEBUG: 2026-02-02 10:23:00,698:      pdf_renderer.py:  470: printSegment: Unique VerifyWise Features
   ERROR: 2026-02-02 10:23:00,699:      pdf_renderer.py:  217: /Users/gorkemcetin/verifywise/docs/VERIFYWISE_VS_ONETRUST_COMPARISON.md:21: #10-unique-verifywise-features: No such file or directory
   DEBUG: 2026-02-02 10:23:00,699:      pdf_renderer.py:  470: printSegment:  11 
   DEBUG: 2026-02-02 10:23:00,699:      pdf_renderer.py:  470: printSegment: Unique OneTrust Features
   ERROR: 2026-02-02 10:23:00,700:      pdf_renderer.py:  217: /Users/gorkemcetin/verifywise/docs/VERIFYWISE_VS_ONETRUST_COMPARISON.md:22: #11-unique-onetrust-features: No such file or directory
   DEBUG: 2026-02-02 10:23:00,700:      pdf_renderer.py:  470: printSegment:  12 
   DEBUG: 2026-02-02 10:23:00,700:      pdf_renderer.py:  470: printSegment: EU AI Act Compliance Coverage
   ERROR: 2026-02-02 10:23:00,700:      pdf_renderer.py:  217: /Users/gorkemcetin/verifywise/docs/VERIFYWISE_VS_ONETRUST_COMPARISON.md:23: #12-eu-ai-act-compliance-coverage: No such file or directory
   DEBUG: 2026-02-02 10:23:00,700:      pdf_renderer.py:  470: printSegment:  13 
   DEBUG: 2026-02-02 10:23:00,701:      pdf_renderer.py:  470: printSegment: Gap Analysis 
   DEBUG: 2026-02-02 10:23:00,701:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2026-02-02 10:23:00,701:      pdf_renderer.py:  470: printSegment:  Recommendations
   ERROR: 2026-02-02 10:23:00,702:      pdf_renderer.py:  217: /Users/gorkemcetin/verifywise/docs/VERIFYWISE_VS_ONETRUST_COMPARISON.md:24: #13-gap-analysis--recommendations: No such file or directory
   DEBUG: 2026-02-02 10:23:00,702:      pdf_renderer.py:  470: printSegment:  14 
   DEBUG: 2026-02-02 10:23:00,702:      pdf_renderer.py:  470: printSegment: Conclusion
   ERROR: 2026-02-02 10:23:00,703:      pdf_renderer.py:  217: /Users/gorkemcetin/verifywise/docs/VERIFYWISE_VS_ONETRUST_COMPARISON.md:25: #14-conclusion: No such file or directory
   DEBUG: 2026-02-02 10:23:00,703:      pdf_renderer.py:  470: printSegment: 1. Executive Summary
   DEBUG: 2026-02-02 10:23:00,703:      pdf_renderer.py:  470: printSegment: This report provides a comprehensive comparison between 
   DEBUG: 2026-02-02 10:23:00,704:      pdf_renderer.py:  470: printSegment: VerifyWise
   DEBUG: 2026-02-02 10:23:00,705:      pdf_renderer.py:  470: printSegment: , an open-source AI governance platform,
