,"IBM AI Risk Database
A structured library of AI risks curated by IBM, covering agentic behaviors, data leakage, bias, security issues, and operational failures. Each risk entry includes a clear description, categories, likelihood, and severity so teams can assess, compare, and prioritize risks when deploying advanced AI systems.",,,,
,Agentic AI risks,,,,
,,,,,
,Risk name,Description,Categories,Likelihood,Severity
,Unexplainable and untraceable actions,"The agent may take actions that can’t be traced back to a clear reasoning path. This makes troubleshooting, auditing and incident investigation difficult. It also reduces trust in the system.","Operational risk, Technological risk, Compliance risk",Possible,Moderate
,Sharing IP or confidential information with the user,The agent might surface proprietary data or personal information in natural-language outputs. Leaks often go unnoticed and create legal and reputational exposure. Even small slips can be irreversible.,"Data privacy risk, Legal risk, Reputational risk, Cybersecurity risk",Possible,Major
,Sharing IP or confidential information with tools,"External tools or APIs may receive sensitive data unintentionally when the agent passes context outward. Once data enters third-party systems, control and visibility are lost.","Third-party or vendor risk, Cybersecurity risk, Data privacy risk, Legal risk",Likely,Major
,Discriminatory actions,"The agent may treat groups unfairly due to biased reasoning or skewed training patterns. This affects service quality, hiring decisions or customer treatment. It can cause serious compliance and reputation damage.","Compliance risk, Legal risk, Reputational risk, Human resources risk",Possible,Major
,Introduction of new data bias,Agents can generate new biased content or reinforce skewed data patterns. These issues spread across downstream systems and create long-term fairness gaps.,"Operational risk, Technological risk, Compliance risk",Possible,Moderate
,Impact on human dignity,Agents may interact in ways that feel disrespectful or dehumanizing. This undermines user trust and can conflict with internal ethical standards. In sensitive contexts it causes real harm.,"Reputational risk, Compliance risk, Human resources risk",Unlikely,Moderate
,Impact on human agency,Highly autonomous agents can take over decisions that should remain under human control. This reduces oversight and can create overdependence on automated judgment.,"Strategic risk, Operational risk, Compliance risk",Possible,Major
,Impact on jobs,Agentic automation reshapes job roles and can displace certain tasks entirely. Teams may face uncertainty and morale issues as responsibilities shift.,"Human resources risk, Strategic risk",Likely,Moderate
,Environmental impact,"Agents may loop or execute unnecessary actions, increasing compute consumption. Over time this leads to higher energy use and larger cloud costs.","Environmental risk, Financial risk",Possible,Minor
,Over-reliance or under-reliance on agents,"Some users trust the agent too much, others ignore it entirely. Both extremes undermine safety and effectiveness and introduce avoidable errors.","Operational risk, Strategic risk",Possible,Moderate
,Misaligned actions,The agent may pursue goals that technically match the prompt but conflict with actual intentions. These errors lead to harmful or wasteful outcomes.,"Operational risk, Technological risk, Strategic risk",Possible,Major
,Attacks on external resources used by the agent,"Agents depend on external APIs, tools and services. If attackers compromise these components, the agent inherits the risk and may behave unpredictably.","Cybersecurity risk, Third-party or vendor risk, Operational risk",Possible,Major
,Unauthorized use,"Without strong access controls, an agent can be triggered by someone who shouldn't have access. This results in unintended actions, data exposure or policy violations.","Cybersecurity risk, Operational risk, Compliance risk",Possible,Major
,Exploiting trust mismatch,Users often assume the agent is more reliable or capable than it actually is. This misplaced trust can be exploited or lead to poor decisions.,"Reputational risk, Operational risk, Human resources risk",Possible,Moderate
